paper_id,title,authors,year,venue,categories,hardware,methodology_type,measured_on_physical_hardware,n_claims,read_status,phoenix_relevance,doi,arxiv,url
PAP-0001,In-Datacenter Performance Analysis of a Tensor Processing Unit,"Norman P. Jouppi; Cliff Young; Nishant Patil; David Patterson; (et al., Google, Inc.)",2017,ISCA '17 (44th Annual International Symposium on Computer Architecture),tpu_ai_accelerators; ai_accelerator_architecture; systolic_arrays; benchmarking_methodology,TPU,EXPERIMENTAL,True,4,SKIMMED,HIGH,10.1145/3079856.3080246,1704.04760,https://arxiv.org/abs/1704.04760
PAP-0002,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan N. Gomez; Lukasz Kaiser; Illia Polosukhin,2017,NeurIPS 2017 (Advances in Neural Information Processing Systems 30),transformer_acceleration; ai_accelerator_architecture,GPU,EXPERIMENTAL,True,1,SKIMMED,MEDIUM,,1706.03762,https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html
PAP-0003,Deep learning with coherent nanophotonic circuits,Yichen Shen; Nicholas C. Harris; Scott Skirlo; Mihika Prabhu; Tom Baehr-Jones; Michael Hochberg; (et al.),2017,Nature Photonics,photonic_computing; optical_neural_networks; silicon_photonics; mzi_architectures,PHOTONIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1038/nphoton.2017.93,,https://www.nature.com/articles/nphoton.2017.93
PAP-0004,Loihi: A Neuromorphic Manycore Processor with On-Chip Learning,"Mike Davies; Narayan Srinivasa; Tsung-Han Lin; Gautham N. Chinya; Yongqiang Cao; (et al., Intel)",2018,"IEEE Micro, 38(1), pp. 82-99",neuromorphic_computing; snns; ai_accelerator_architecture,NEUROMORPHIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1109/MM.2018.112130359,,https://www.semanticscholar.org/paper/Loihi:-A-Neuromorphic-Manycore-Processor-with-Davies-Srinivasa/ccc560f932e36b8561a847e02fcf20522bc71c5f
PAP-0005,Roofline: An Insightful Visual Performance Model for Multicore Architectures,Samuel Williams; Andrew Waterman; David Patterson,2009,"Communications of the ACM, 52(4), pp. 65-76",roofline_performance_modeling; benchmarking_methodology,,ANALYTICAL,False,0,ABSTRACT_ONLY,HIGH,10.1145/1498765.1498785,,https://cacm.acm.org/research/roofline-an-insightful-visual-performance-model-for-multicore-architectures/
PAP-0006,Efficient Processing of Deep Neural Networks: A Tutorial and Survey,Vivienne Sze; Yu-Hsin Chen; Tien-Ju Yang; Joel S. Emer,2017,"Proceedings of the IEEE, 105(12), pp. 2295-2329",ai_accelerator_architecture; benchmarking_methodology,,SURVEY,False,0,ABSTRACT_ONLY,MEDIUM,10.1109/JPROC.2017.2761740,1703.09039,https://arxiv.org/abs/1703.09039
PAP-0007,Eyeriss: An Energy-Efficient Reconfigurable Accelerator for Deep Convolutional Neural Networks,Yu-Hsin Chen; Tushar Krishna; Joel S. Emer; Vivienne Sze,2017,IEEE Journal of Solid-State Circuits,ai_accelerator_architecture,OTHER_ACCELERATOR,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1109/JSSC.2016.2616357,,
PAP-0008,A domain-specific supercomputer for training deep neural networks,Norman P. Jouppi; Doe Hyun Yoon; George Kurian; Sheng Li; Nishant Patil; James Laudon; Cliff Young; David A. Patterson,2020,Communications of the ACM,tpu_ai_accelerators,TPU,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1145/3360307,,
PAP-0009,Ten Lessons From Three Generations Shaped Google's TPUv4i,Norman P. Jouppi; Doe Hyun Yoon; Matthew Ashcraft; Mark Gottscho; Thomas B. Jablin; George Kurian; James Laudon; Sheng Li; Peter Ma; Xiaoyu Ma; Thomas Norrie; Nishant Patil; Sushma Prasad; Cliff Young; Zongwei Zhou; David Patterson,2021,ISCA 2021,tpu_ai_accelerators,TPU,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1109/ISCA52012.2021.00010,,
PAP-0010,Dissecting the NVIDIA Volta GPU Architecture via Microbenchmarking,Zhe Jia; Marco Maggioni; Benjamin Staiger; Daniele P. Scarpazza,2018,arXiv preprint,gpu_architecture,GPU,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,,1804.06826,
